date,open,high,low,close,volume,taker_buy_volume,pvsra_label,rsi,target,dxy
2023-10-02 06:00:00,27977.39,28103.83,27963.35,28101.59,1422.89327,795.55047,bull100,82.54048649573099,buy,106.9000015258789
2023-10-02 07:00:00,28101.59,28430.0,28097.65,28311.91,3844.08489,2093.61705,bull150,86.65732164614312,buy,106.9000015258789
2023-10-02 08:00:00,28311.91,28484.28,28252.84,28280.94,4245.51908,2335.20456,bear150,84.88983644791003,hold,106.9000015258789
2023-10-02 09:00:00,28280.94,28326.55,28238.15,28288.61,1887.17122,997.71931,bull100,84.89677461132266,sell,106.9000015258789
2023-10-02 10:00:00,28288.61,28342.87,28273.31,28305.5,1424.08153,615.01506,bull100,84.98657007262103,sell,106.9000015258789
2023-10-02 11:00:00,28305.5,28368.76,28187.69,28198.04,1683.73209,742.75714,bear100,79.14773931523564,sell,106.9000015258789
2023-10-02 12:00:00,28198.05,28349.27,28197.69,28320.66,2121.40208,996.06223,bull100,65.40621703555169,sell,106.9000015258789
2023-10-02 13:00:00,28320.67,28544.0,28292.0,28544.0,2766.60516,1593.90971,bull100,71.67996854727738,sell,106.9000015258789
2023-10-02 14:00:00,28544.0,28580.0,28178.4,28307.69,3810.03319,1864.11747,bear200,62.97511640438258,sell,106.9000015258789
2023-10-02 15:00:00,28307.69,28419.88,27983.0,28026.31,3294.20231,1516.14594,bear100,53.09604105144832,sell,106.9000015258789
2023-10-02 16:00:00,28026.3,28123.39,27853.49,27999.15,3030.99961,1420.83281,bear100,50.49214061840228,sell,106.9000015258789
2023-10-02 17:00:00,27999.15,28121.91,27905.72,28055.25,1456.45476,801.4071,bull100,47.7632264258686,sell,106.9000015258789
2023-10-02 18:00:00,28055.26,28104.1,27655.82,27798.81,3204.75723,1428.77425,bear100,42.50928485660829,sell,106.9000015258789
2023-10-02 19:00:00,27798.82,27967.93,27631.41,27964.99,2242.82794,1143.51709,bull100,49.66819313890898,sell,106.9000015258789
2023-10-02 20:00:00,27965.0,27965.94,27821.3,27843.68,1168.32791,539.47519,bear100,43.08236998095646,sell,106.9000015258789
2023-10-02 21:00:00,27843.68,27873.4,27281.44,27472.22,3838.33841,1761.62009,bear200,29.26988233783804,hold,106.9000015258789
2023-10-02 22:00:00,27472.23,27558.46,27351.0,27554.56,2133.91788,1057.82843,bull100,32.51085878285328,hold,106.9000015258789
2023-10-02 23:00:00,27554.55,27618.48,27472.48,27494.51,1690.95348,875.25494,bear100,31.35074963363762,hold,106.9000015258789
2023-10-03 00:00:00,27494.51,27572.0,27401.0,27430.0,2642.1657,820.20612,bear100,29.888912370328825,buy,107.0
2023-10-03 01:00:00,27430.0,27564.6,27381.48,27563.32,1227.95232,553.00072,bull100,35.59105025153002,hold,107.0
2023-10-03 02:00:00,27563.32,27613.78,27517.15,27584.2,693.05681,437.25913,bull100,32.47174858861948,hold,107.0
2023-10-03 03:00:00,27584.2,27640.0,27536.0,27601.55,887.55349,490.07839,bull100,25.13048939460305,hold,107.0
2023-10-03 04:00:00,27601.54,27648.05,27545.3,27633.02,711.66232,375.0834,bull100,30.038758543152184,hold,107.0
2023-10-03 05:00:00,27633.02,27635.0,27572.37,27572.37,691.02619,323.86677,bear100,34.55166687085658,hold,107.0
2023-10-03 06:00:00,27572.37,27676.52,27565.06,27637.63,720.3375,390.4359,bull100,38.007855000928814,sell,107.0
2023-10-03 07:00:00,27637.63,27653.47,27521.43,27540.64,929.31759,360.6504,bear100,33.380484559588226,hold,107.0
2023-10-03 08:00:00,27540.65,27642.83,27540.06,27595.14,853.70763,377.48759,bull100,42.43576697096419,sell,107.0
2023-10-03 09:00:00,27595.14,27619.18,27545.38,27550.01,898.41037,422.27656,bear100,33.06508218932109,sell,107.0
2023-10-03 10:00:00,27550.01,27635.8,27550.0,27625.58,831.23594,434.77966,bull100,40.75440024417555,sell,107.0
2023-10-03 11:00:00,27625.58,27634.97,27475.0,27559.99,1301.64126,549.12788,bear150,55.023408614828085,hold,107.0
2023-10-03 12:00:00,27560.0,27565.0,27420.55,27472.7,1716.78951,791.2579,bear200,45.341240211254814,sell,107.0
2023-10-03 13:00:00,27472.69,27579.7,27388.0,27549.47,1702.50151,908.77205,bull200,53.06943079260132,sell,107.0
2023-10-03 14:00:00,27549.48,27549.48,27258.05,27350.59,2806.38225,1258.6872,bear200,46.14383528383437,hold,107.0
2023-10-03 15:00:00,27350.59,27420.13,27234.55,27345.0,1782.82306,816.33107,bear100,37.89693099166242,hold,107.0
2023-10-03 16:00:00,27345.0,27442.59,27318.89,27385.44,1136.23026,624.0398,bull100,39.21517558709903,hold,107.0
2023-10-03 17:00:00,27385.44,27486.2,27385.0,27435.4,888.9211,475.55123,bull100,41.29275015983842,hold,107.0
2023-10-03 18:00:00,27435.4,27447.75,27300.47,27300.48,937.9229,408.89112,bear100,34.27766325623635,hold,107.0
2023-10-03 19:00:00,27300.48,27425.0,27250.0,27275.0,1231.97846,580.05255,bear100,35.45683069730161,hold,107.0
2023-10-03 20:00:00,27275.0,27396.97,27160.5,27394.25,1698.9277,793.14758,bull100,38.69430302129406,hold,107.0
